station_seqnum,date,value (mm)
1060001,2025-08-15,2.7
1060002,2025-08-15,5.2
1060003,2025-08-15,-9999
1060004,2025-08-15,0
1060005,2025-08-15,3.6
1060006,2025-08-15,-9999
1060007,2025-08-15,0
1060008,2025-08-15,1.4
1060009,2025-08-15,-9999
1060010,2025-08-15,0.1
1060011,2025-08-15,-9999
1060012,2025-08-15,0
1060013,2025-08-15,5.5
1060014,2025-08-15,6.4
1060015,2025-08-15,1.9
1060016,2025-08-15,0
1060017,2025-08-15,1
1060018,2025-08-15,-9999
1060019,2025-08-15,-9999
1060020,2025-08-15,10.7
1060021,2025-08-15,7.3
1060022,2025-08-15,4
1060023,2025-08-15,-9999
1060024,2025-08-15,-9999
1060025,2025-08-15,6.8
1060026,2025-08-15,0
1060027,2025-08-15,-9999
1060028,2025-08-15,10
1060029,2025-08-15,5.9
1060030,2025-08-15,0
1060031,2025-08-15,0.5
1060032,2025-08-15,-9999
1060033,2025-08-15,2.2
1060034,2025-08-15,0.5
1060035,2025-08-15,52.5
1060036,2025-08-15,0.2
1060037,2025-08-15,10.4
1060038,2025-08-15,12
1060039,2025-08-15,0
1060040,2025-08-15,0
1060041,2025-08-15,2.8
1060042,2025-08-15,0
1060043,2025-08-15,-9999
1060044,2025-08-15,6.9
1060045,2025-08-15,0
1060046,2025-08-15,0
,,
