station_seqnum,date,value (mm),
1060001,2024-10-15,-9999,
1060002,2024-10-15,50.5,
1060003,2024-10-15,-9999,
1060004,2024-10-15,-9999,
1060005,2024-10-15,51.1,
1060006,2024-10-15,-9999,
1060007,2024-10-15,-9999,
1060008,2024-10-15,-9999,
1060009,2024-10-15,10.9,
1060010,2024-10-15,58,
1060011,2024-10-15,-9999,
1060012,2024-10-15,41.9,
1060013,2024-10-15,40.4,
1060014,2024-10-15,40.5,
1060015,2024-10-15,37.8,
1060016,2024-10-15,-9999,
1060017,2024-10-15,30.5,
1060018,2024-10-15,31.4,
1060019,2024-10-15,-9999,
1060020,2024-10-15,-9999,
1060021,2024-10-15,43.9,
1060022,2024-10-15,65.1,
1060023,2024-10-15,-9999,
1060024,2024-10-15,-9999,
1060025,2024-10-15,67.8,
1060026,2024-10-15,37.7,
1060027,2024-10-15,-9999,
1060028,2024-10-15,-9999,
1060029,2024-10-15,-9999,
1060030,2024-10-15,15.8,
1060031,2024-10-15,35.4,
1060032,2024-10-15,-9999,
1060033,2024-10-15,44.8,
1060034,2024-10-15,51.6,
1060035,2024-10-15,80.9,
1060036,2024-10-15,2.1,
1060037,2024-10-15,-9999,
1060038,2024-10-15,14.7,
1060039,2024-10-15,4,
1060040,2024-10-15,0.6,
1060041,2024-10-15,104.5,
1060042,2024-10-15,79.1,
1060043,2024-10-15,-9999,
1060044,2024-10-15,-9999,
1060045,2024-10-15,5.8,
1060046,2024-10-15,0.2,
,,,
