station_seqnum,date,value (mm),who,value (mm)
1060001,2024-03-15,90.8,7,90.8
1060002,2024-03-15,345.4,7,345.4
1060003,2024-03-15,-9999,7,-9999
1060004,2024-03-15,32.1,7,32.1
1060005,2024-03-15,419,7,419
1060006,2024-03-15,-9999,7,-9999
1060007,2024-03-15,52.5,7,52.5
1060008,2024-03-15,-9999,7,-9999
1060009,2024-03-15,-9999,7,-9999
1060010,2024-03-15,154.8,7,154.8
1060011,2024-03-15,159.1,7,159.1
1060012,2024-03-15,83.2,7,83.2
1060013,2024-03-15,298.5,7,298.5
1060014,2024-03-15,-9999,7,-9999
1060015,2024-03-15,272.1,7,272.1
1060016,2024-03-15,139,7,139
1060017,2024-03-15,119.9,7,119.9
1060018,2024-03-15,-9999,7,-9999
1060019,2024-03-15,-9999,7,-9999
1060020,2024-03-15,126.5,7,126.5
1060021,2024-03-15,385.1,7,385.1
1060022,2024-03-15,472.9,7,472.9
1060023,2024-03-15,-9999,7,-9999
1060024,2024-03-15,-9999,7,-9999
1060025,2024-03-15,270.3,7,270.3
1060026,2024-03-15,170.6,7,170.6
1060027,2024-03-15,-9999,7,-9999
1060028,2024-03-15,178.2,7,178.2
1060029,2024-03-15,-9999,7,-9999
1060030,2024-03-15,1041.8,7,1041.8
1060031,2024-03-15,424.6,7,424.6
1060032,2024-03-15,-9999,7,-9999
1060033,2024-03-15,119.6,7,119.6
1060034,2024-03-15,407.9,7,407.9
1060035,2024-03-15,149.3,7,149.3
1060036,2024-03-15,216.7,7,216.7
1060037,2024-03-15,-9999,7,-9999
1060038,2024-03-15,-9999,7,-9999
1060039,2024-03-15,32.3,7,32.3
1060040,2024-03-15,52.4,7,52.4
1060041,2024-03-15,139.2,7,139.2
1060042,2024-03-15,227.8,7,227.8
1060043,2024-03-15,-9999,7,-9999
1060044,2024-03-15,327.8,7,327.8
1060045,2024-03-15,20.7,7,20.7
1060046,2024-03-15,1114.8,7,1114.8
,,,,
