station_seqnum,date,value (mm)
1060001,2026-02-15,29.7
1060002,2026-02-15,47.3
1060003,2026-02-15,-9999
1060004,2026-02-15,79.4
1060005,2026-02-15,8.4
1060006,2026-02-15,-9999
1060007,2026-02-15,115.4
1060008,2026-02-15,-9999
1060009,2026-02-15,166.5
1060010,2026-02-15,0.2
1060011,2026-02-15,-9999
1060012,2026-02-15,208.6
1060013,2026-02-15,89.8
1060014,2026-02-15,-9999
1060015,2026-02-15,59.9
1060016,2026-02-15,390.7
1060017,2026-02-15,138.1
1060018,2026-02-15,213.7
1060019,2026-02-15,-9999
1060020,2026-02-15,-9999
1060021,2026-02-15,25.9
1060022,2026-02-15,29.1
1060023,2026-02-15,516.8
1060024,2026-02-15,-9999
1060025,2026-02-15,74.1
1060026,2026-02-15,26.9
1060027,2026-02-15,-9999
1060028,2026-02-15,-9999
1060029,2026-02-15,219.9
1060030,2026-02-15,192.3
1060031,2026-02-15,265.6
1060032,2026-02-15,-9999
1060033,2026-02-15,348.8
1060034,2026-02-15,50.6
1060035,2026-02-15,-9999
1060036,2026-02-15,60.5
1060037,2026-02-15,302.8
1060038,2026-02-15,288.4
1060039,2026-02-15,47
1060040,2026-02-15,68.1
1060041,2026-02-15,230.5
1060042,2026-02-15,273.8
1060043,2026-02-15,69.7
1060044,2026-02-15,46.6
1060045,2026-02-15,105.6
1060046,2026-02-15,168.7
1060047,2026-02-15,9.2
1060048,2026-02-15,-9999
