station_seqnum,date,value (mm),
1060001,2024-12-15,0.5,
1060002,2024-12-15,-9999,
1060003,2024-12-15,-9999,
1060004,2024-12-15,-9999,
1060005,2024-12-15,69.2,
1060006,2024-12-15,-9999,
1060007,2024-12-15,-9999,
1060008,2024-12-15,59.6,
1060009,2024-12-15,67.4,
1060010,2024-12-15,62.7,
1060011,2024-12-15,-9999,
1060012,2024-12-15,100.8,
1060013,2024-12-15,44.6,
1060014,2024-12-15,37.7,
1060015,2024-12-15,24.8,
1060016,2024-12-15,52.8,
1060017,2024-12-15,112.8,
1060018,2024-12-15,166.2,
1060019,2024-12-15,-9999,
1060020,2024-12-15,-9999,
1060021,2024-12-15,-9999,
1060022,2024-12-15,-9999,
1060023,2024-12-15,103.7,
1060024,2024-12-15,-9999,
1060025,2024-12-15,16.4,
1060026,2024-12-15,46.5,
1060027,2024-12-15,-9999,
1060028,2024-12-15,48.1,
1060029,2024-12-15,-9999,
1060030,2024-12-15,13.5,
1060031,2024-12-15,186.1,
1060032,2024-12-15,-9999,
1060033,2024-12-15,26,
1060034,2024-12-15,35,
1060035,2024-12-15,-9999,
1060036,2024-12-15,116,
1060037,2024-12-15,21.5,
1060038,2024-12-15,119,
1060039,2024-12-15,39.3,
1060040,2024-12-15,45.8,
1060041,2024-12-15,142.8,
1060042,2024-12-15,84.9,
1060043,2024-12-15,-9999,
1060044,2024-12-15,-9999,
1060045,2024-12-15,79.3,
1060046,2024-12-15,-9999,
,,,
