station_seqnum,date,value (mm)
1060001,2026-08-15,7
1060002,2026-08-15,32.1
1060003,2026-08-15,-9999
1060004,2026-08-15,47.2
1060005,2026-08-15,17
1060006,2026-08-15,-9999
1060007,2026-08-15,8
1060008,2026-08-15,0
1060009,2026-08-15,0
1060010,2026-08-15,-9999
1060011,2026-08-15,-9999
1060012,2026-08-15,2.5
1060013,2026-08-15,263.9
1060014,2026-08-15,230
1060015,2026-08-15,89.9
1060016,2026-08-15,0
1060017,2026-08-15,-9999
1060018,2026-08-15,-9999
1060019,2026-08-15,0
1060020,2026-08-15,-9999
1060021,2026-08-15,51.3
1060022,2026-08-15,45.9
1060023,2026-08-15,0
1060024,2026-08-15,-9999
1060025,2026-08-15,195.3
1060026,2026-08-15,64.2
1060027,2026-08-15,-9999
1060028,2026-08-15,-9999
1060029,2026-08-15,-9999
1060030,2026-08-15,0
1060031,2026-08-15,0
1060032,2026-08-15,-9999
1060033,2026-08-15,0
1060034,2026-08-15,-9999
1060035,2026-08-15,-9999
1060036,2026-08-15,2
1060037,2026-08-15,37.7
1060038,2026-08-15,0
1060039,2026-08-15,0
1060040,2026-08-15,0
1060041,2026-08-15,16.8
1060042,2026-08-15,0
1060043,2026-08-15,140
1060044,2026-08-15,90.1
1060045,2026-08-15,0
1060046,2026-08-15,-9999
1060047,2026-08-15,-9999
1060048,2026-08-15,7.2
