station_seqnum,date,value (mm),
1060001,2025-03-15,-9999,
1060002,2025-03-15,454.2,
1060003,2025-03-15,-9999,
1060004,2025-03-15,-9999,
1060005,2025-03-15,62.6,
1060006,2025-03-15,-9999,
1060007,2025-03-15,184.2,
1060008,2025-03-15,94.7,
1060009,2025-03-15,-9999,
1060010,2025-03-15,-9999,
1060011,2025-03-15,231.3,
1060012,2025-03-15,204.1,
1060013,2025-03-15,30.8,
1060014,2025-03-15,39.6,
1060015,2025-03-15,16.5,
1060016,2025-03-15,219.9,
1060017,2025-03-15,451.8,
1060018,2025-03-15,-9999,
1060019,2025-03-15,-9999,
1060020,2025-03-15,-9999,
1060021,2025-03-15,53.4,
1060022,2025-03-15,34.4,
1060023,2025-03-15,-9999,
1060024,2025-03-15,-9999,
1060025,2025-03-15,79.3,
1060026,2025-03-15,-9999,
1060027,2025-03-15,-9999,
1060028,2025-03-15,-9999,
1060029,2025-03-15,-9999,
1060030,2025-03-15,244.5,
1060031,2025-03-15,321.6,
1060032,2025-03-15,-9999,
1060033,2025-03-15,378.9,
1060034,2025-03-15,22.6,
1060035,2025-03-15,-9999,
1060036,2025-03-15,204.5,
1060037,2025-03-15,-9999,
1060038,2025-03-15,147.5,
1060039,2025-03-15,195.8,
1060040,2025-03-15,189.7,
1060041,2025-03-15,247.2,
1060042,2025-03-15,119,
1060043,2025-03-15,126,
1060044,2025-03-15,38.1,
1060045,2025-03-15,69.5,
1060046,2025-03-15,172.4,
,,,
