station_seqnum,date,value (mm)
1060001,2026-04-15,-9999
1060002,2026-04-15,210.3
1060003,2026-04-15,-9999
1060004,2026-04-15,-9999
1060005,2026-04-15,39
1060006,2026-04-15,-9999
1060007,2026-04-15,-9999
1060008,2026-04-15,2
1060009,2026-04-15,4.7
1060010,2026-04-15,17.5
1060011,2026-04-15,-9999
1060012,2026-04-15,179.7
1060013,2026-04-15,-9999
1060014,2026-04-15,112.9
1060015,2026-04-15,17.7
1060016,2026-04-15,16.1
1060017,2026-04-15,49.6
1060018,2026-04-15,121.1
1060019,2026-04-15,-9999
1060020,2026-04-15,-9999
1060021,2026-04-15,-9999
1060022,2026-04-15,24.4
1060023,2026-04-15,168.1
1060024,2026-04-15,-9999
1060025,2026-04-15,132.2
1060026,2026-04-15,32.3
1060027,2026-04-15,-9999
1060028,2026-04-15,72.7
1060029,2026-04-15,44
1060030,2026-04-15,108.6
1060031,2026-04-15,96.2
1060032,2026-04-15,-9999
1060033,2026-04-15,57.4
1060034,2026-04-15,8
1060035,2026-04-15,-9999
1060036,2026-04-15,180
1060037,2026-04-15,112.4
1060038,2026-04-15,-9999
1060039,2026-04-15,4.3
1060040,2026-04-15,0.5
1060041,2026-04-15,21.5
1060042,2026-04-15,53.5
1060043,2026-04-15,-9999
1060044,2026-04-15,132.1
1060045,2026-04-15,0
1060046,2026-04-15,-9999
1060047,2026-04-15,128.6
1060048,2026-04-15,114.4
