station_seqnum,date,value (mm),who,value (mm)
1060001,2024-04-15,27.4,7,27.4
1060002,2024-04-15,150.7,7,150.7
1060003,2024-04-15,-9999,7,-9999
1060004,2024-04-15,-9999,7,-9999
1060005,2024-04-15,47.4,7,47.4
1060006,2024-04-15,-9999,7,-9999
1060007,2024-04-15,-9999,7,-9999
1060008,2024-04-15,-9999,7,-9999
1060009,2024-04-15,-9999,7,-9999
1060010,2024-04-15,25.7,7,25.7
1060011,2024-04-15,-9999,7,-9999
1060012,2024-04-15,29.8,7,29.8
1060013,2024-04-15,125.1,7,125.1
1060014,2024-04-15,-9999,7,-9999
1060015,2024-04-15,33.8,7,33.8
1060016,2024-04-15,-9999,7,-9999
1060017,2024-04-15,131.9,7,131.9
1060018,2024-04-15,73.9,7,73.9
1060019,2024-04-15,-9999,7,-9999
1060020,2024-04-15,27.3,7,27.3
1060021,2024-04-15,227.2,7,227.2
1060022,2024-04-15,215.7,7,215.7
1060023,2024-04-15,0.2,7,0.2
1060024,2024-04-15,-9999,7,-9999
1060025,2024-04-15,159,7,159
1060026,2024-04-15,22.7,7,22.7
1060027,2024-04-15,-9999,7,-9999
1060028,2024-04-15,-9999,7,-9999
1060029,2024-04-15,-9999,7,-9999
1060030,2024-04-15,3.6,7,3.6
1060031,2024-04-15,121.3,7,121.3
1060032,2024-04-15,-9999,7,-9999
1060033,2024-04-15,64.2,7,64.2
1060034,2024-04-15,55.9,7,55.9
1060035,2024-04-15,-9999,7,-9999
1060036,2024-04-15,27,7,27
1060037,2024-04-15,231.5,7,231.5
1060038,2024-04-15,-9999,7,-9999
1060039,2024-04-15,0,7,0
1060040,2024-04-15,0,7,0
1060041,2024-04-15,57.6,7,57.6
1060042,2024-04-15,67.7,7,67.7
1060043,2024-04-15,-9999,7,-9999
1060044,2024-04-15,162.7,7,162.7
1060045,2024-04-15,0,7,0
1060046,2024-04-15,-9999,7,-9999
,,,,
