station_seqnum,date,value (mm),
1060001,2024-06-15,26.1,
1060002,2024-06-15,43.4,
1060003,2024-06-15,-9999,
1060004,2024-06-15,-9999,
1060005,2024-06-15,1.5,
1060006,2024-06-15,-9999,
1060007,2024-06-15,-9999,
1060008,2024-06-15,-9999,
1060009,2024-06-15,0.3,
1060010,2024-06-15,4.2,
1060011,2024-06-15,-9999,
1060012,2024-06-15,6.9,
1060013,2024-06-15,132.5,
1060014,2024-06-15,122.2,
1060015,2024-06-15,17.4,
1060016,2024-06-15,0.6,
1060017,2024-06-15,41.7,
1060018,2024-06-15,-9999,
1060019,2024-06-15,-9999,
1060020,2024-06-15,-9999,
1060021,2024-06-15,42.8,
1060022,2024-06-15,62.2,
1060023,2024-06-15,-9999,
1060024,2024-06-15,-9999,
1060025,2024-06-15,121.8,
1060026,2024-06-15,6.3,
1060027,2024-06-15,-9999,
1060028,2024-06-15,-9999,
1060029,2024-06-15,-9999,
1060030,2024-06-15,5.2,
1060031,2024-06-15,-9999,
1060032,2024-06-15,-9999,
1060033,2024-06-15,11.4,
1060034,2024-06-15,14.1,
1060035,2024-06-15,-9999,
1060036,2024-06-15,5.5,
1060037,2024-06-15,149.4,
1060038,2024-06-15,-9999,
1060039,2024-06-15,16,
1060040,2024-06-15,9.8,
1060041,2024-06-15,120.7,
1060042,2024-06-15,-9999,
1060043,2024-06-15,-9999,
1060044,2024-06-15,21.8,
1060045,2024-06-15,0,
1060046,2024-06-15,6.6,
,,,
