station_seqnum,date,value (mm),
1060001,2025-01-15,-9999,
1060002,2025-01-15,528.8,
1060003,2025-01-15,-9999,
1060004,2025-01-15,-9999,
1060005,2025-01-15,-9999,
1060006,2025-01-15,-9999,
1060007,2025-01-15,-9999,
1060008,2025-01-15,249.6,
1060009,2025-01-15,-9999,
1060010,2025-01-15,123.6,
1060011,2025-01-15,-9999,
1060012,2025-01-15,503.7,
1060013,2025-01-15,184.9,
1060014,2025-01-15,254.2,
1060015,2025-01-15,167,
1060016,2025-01-15,-9999,
1060017,2025-01-15,298.6,
1060018,2025-01-15,143.1,
1060019,2025-01-15,-9999,
1060020,2025-01-15,-9999,
1060021,2025-01-15,122.4,
1060022,2025-01-15,170.2,
1060023,2025-01-15,-9999,
1060024,2025-01-15,-9999,
1060025,2025-01-15,243.3,
1060026,2025-01-15,124.9,
1060027,2025-01-15,-9999,
1060028,2025-01-15,-9999,
1060029,2025-01-15,250.2,
1060030,2025-01-15,144.2,
1060031,2025-01-15,165.1,
1060032,2025-01-15,-9999,
1060033,2025-01-15,350.4,
1060034,2025-01-15,150,
1060035,2025-01-15,289.4,
1060036,2025-01-15,185,
1060037,2025-01-15,-9999,
1060038,2025-01-15,374.6,
1060039,2025-01-15,204.7,
1060040,2025-01-15,296.1,
1060041,2025-01-15,-9999,
1060042,2025-01-15,600.1,
1060043,2025-01-15,98.9,
1060044,2025-01-15,-9999,
1060045,2025-01-15,111.8,
1060046,2025-01-15,-9999,
,,,
