station_seqnum,date,value (mm)
1060001,2026-01-15,117
1060002,2026-01-15,284.8
1060003,2026-01-15,-9999
1060004,2026-01-15,-9999
1060005,2026-01-15,473.5
1060006,2026-01-15,-9999
1060007,2026-01-15,362.9
1060008,2026-01-15,171.9
1060009,2026-01-15,-9999
1060010,2026-01-15,116.3
1060011,2026-01-15,-9999
1060012,2026-01-15,272.5
1060013,2026-01-15,-9999
1060014,2026-01-15,368.5
1060015,2026-01-15,335.9
1060016,2026-01-15,224.2
1060017,2026-01-15,236.1
1060018,2026-01-15,181.2
1060019,2026-01-15,-9999
1060020,2026-01-15,-9999
1060021,2026-01-15,480.1
1060022,2026-01-15,371.7
1060023,2026-01-15,238.5
1060024,2026-01-15,-9999
1060025,2026-01-15,-9999
1060026,2026-01-15,341
1060027,2026-01-15,-9999
1060028,2026-01-15,-9999
1060029,2026-01-15,187
1060030,2026-01-15,77.4
1060031,2026-01-15,153.5
1060032,2026-01-15,-9999
1060033,2026-01-15,187.8
1060034,2026-01-15,242.7
1060035,2026-01-15,331.1
1060036,2026-01-15,46.6
1060037,2026-01-15,279.4
1060038,2026-01-15,507
1060039,2026-01-15,157.7
1060040,2026-01-15,152
1060041,2026-01-15,231.3
1060042,2026-01-15,203.6
1060043,2026-01-15,-9999
1060044,2026-01-15,384.2
1060045,2026-01-15,175.5
1060046,2026-01-15,94.5
1060047,2026-01-15,193.8
1060048,2026-01-15,-9999
