station_seqnum,date,value (mm),
1060001,2025-04-15,-9999,
1060002,2025-04-15,396.9,
1060003,2025-04-15,-9999,
1060004,2025-04-15,-9999,
1060005,2025-04-15,84.7,
1060006,2025-04-15,-9999,
1060007,2025-04-15,-9999,
1060008,2025-04-15,98.5,
1060009,2025-04-15,-9999,
1060010,2025-04-15,15.1,
1060011,2025-04-15,-9999,
1060012,2025-04-15,104,
1060013,2025-04-15,50.8,
1060014,2025-04-15,84.2,
1060015,2025-04-15,106,
1060016,2025-04-15,78,
1060017,2025-04-15,150.6,
1060018,2025-04-15,-9999,
1060019,2025-04-15,-9999,
1060020,2025-04-15,-9999,
1060021,2025-04-15,45.2,
1060022,2025-04-15,62.1,
1060023,2025-04-15,-9999,
1060024,2025-04-15,-9999,
1060025,2025-04-15,18.9,
1060026,2025-04-15,61.5,
1060027,2025-04-15,-9999,
1060028,2025-04-15,-9999,
1060029,2025-04-15,60.2,
1060030,2025-04-15,22,
1060031,2025-04-15,148.7,
1060032,2025-04-15,-9999,
1060033,2025-04-15,218.6,
1060034,2025-04-15,58.4,
1060035,2025-04-15,119.9,
1060036,2025-04-15,274,
1060037,2025-04-15,124.7,
1060038,2025-04-15,257.5,
1060039,2025-04-15,34.7,
1060040,2025-04-15,28.5,
1060041,2025-04-15,167.9,
1060042,2025-04-15,37.5,
1060043,2025-04-15,38,
1060044,2025-04-15,51.6,
1060045,2025-04-15,23.5,
1060046,2025-04-15,172.8,
,,,
