station_seqnum,date,value (mm),who,value (mm)
1060001,2025-12-15,-9999,7,-9999
1060002,2025-12-15,-9999,7,-9999
1060003,2025-12-15,-9999,7,-9999
1060004,2025-12-15,-9999,7,-9999
1060005,2025-12-15,-9999,7,-9999
1060006,2025-12-15,-9999,7,-9999
1060007,2025-12-15,-9999,7,-9999
1060008,2025-12-15,266.8,7,266.8
1060009,2025-12-15,-9999,7,-9999
1060010,2025-12-15,-9999,7,-9999
1060011,2025-12-15,-9999,7,-9999
1060012,2025-12-15,448.5,7,448.5
1060013,2025-12-15,-9999,7,-9999
1060014,2025-12-15,-9999,7,-9999
1060015,2025-12-15,-9999,7,-9999
1060016,2025-12-15,410.9,7,410.9
1060017,2025-12-15,-9999,7,-9999
1060018,2025-12-15,387.1,7,387.1
1060019,2025-12-15,-9999,7,-9999
1060020,2025-12-15,-9999,7,-9999
1060021,2025-12-15,107.9,7,107.9
1060022,2025-12-15,67.2,7,67.2
1060023,2025-12-15,-9999,7,-9999
1060024,2025-12-15,285.4,7,285.4
1060025,2025-12-15,-9999,7,-9999
1060026,2025-12-15,-9999,7,-9999
1060027,2025-12-15,-9999,7,-9999
1060028,2025-12-15,-9999,7,-9999
1060029,2025-12-15,186.2,7,186.2
1060030,2025-12-15,211.3,7,211.3
1060031,2025-12-15,130,7,130
1060032,2025-12-15,-9999,7,-9999
1060033,2025-12-15,-9999,7,-9999
1060034,2025-12-15,-9999,7,-9999
1060035,2025-12-15,-9999,7,-9999
1060036,2025-12-15,166.6,7,166.6
1060037,2025-12-15,-9999,7,-9999
1060038,2025-12-15,359.8,7,359.8
1060039,2025-12-15,186.9,7,186.9
1060040,2025-12-15,321.9,7,321.9
1060041,2025-12-15,308.2,7,308.2
1060042,2025-12-15,-9999,7,-9999
1060043,2025-12-15,-9999,7,-9999
1060044,2025-12-15,-9999,7,-9999
1060045,2025-12-15,268.4,7,268.4
1060046,2025-12-15,220.5,7,220.5
1060047,2025-12-15,134.5,7,134.5
1060048,2025-12-15,-9999,7,-9999
