station_seqnum,date,value (mm)
1060001,2025-09-15,0.3
1060002,2025-09-15,1.7
1060003,2025-09-15,-9999
1060004,2025-09-15,-9999
1060005,2025-09-15,37.2
1060006,2025-09-15,-9999
1060007,2025-09-15,-9999
1060008,2025-09-15,0
1060009,2025-09-15,-9999
1060010,2025-09-15,15.4
1060011,2025-09-15,-9999
1060012,2025-09-15,0
1060013,2025-09-15,21.9
1060014,2025-09-15,13.3
1060015,2025-09-15,31.3
1060016,2025-09-15,-9999
1060017,2025-09-15,0
1060018,2025-09-15,-9999
1060019,2025-09-15,-9999
1060020,2025-09-15,-9999
1060021,2025-09-15,47.7
1060022,2025-09-15,54.5
1060023,2025-09-15,-9999
1060024,2025-09-15,-9999
1060025,2025-09-15,33.2
1060026,2025-09-15,7.3
1060027,2025-09-15,-9999
1060028,2025-09-15,-9999
1060029,2025-09-15,-9999
1060030,2025-09-15,0
1060031,2025-09-15,12.8
1060032,2025-09-15,-9999
1060033,2025-09-15,0
1060034,2025-09-15,11.7
1060035,2025-09-15,-9999
1060036,2025-09-15,0
1060037,2025-09-15,1
1060038,2025-09-15,12
1060039,2025-09-15,0
1060040,2025-09-15,0
1060041,2025-09-15,0.1
1060042,2025-09-15,0
1060043,2025-09-15,2.6
1060044,2025-09-15,-9999
1060045,2025-09-15,0
1060046,2025-09-15,0
,,
