station_seqnum,date,value (mm),
1060001,2025-07-15,18.1,
1060002,2025-07-15,43.7,
1060003,2025-07-15,-9999,
1060004,2025-07-15,9.7,
1060005,2025-07-15,11.8,
1060006,2025-07-15,-9999,
1060007,2025-07-15,21.1,
1060008,2025-07-15,6.7,
1060009,2025-07-15,-9999,
1060010,2025-07-15,11.1,
1060011,2025-07-15,0.7,
1060012,2025-07-15,14.6,
1060013,2025-07-15,30.2,
1060014,2025-07-15,27.9,
1060015,2025-07-15,2.4,
1060016,2025-07-15,-9999,
1060017,2025-07-15,17.2,
1060018,2025-07-15,-9999,
1060019,2025-07-15,-9999,
1060020,2025-07-15,-9999,
1060021,2025-07-15,-9999,
1060022,2025-07-15,0.2,
1060023,2025-07-15,-9999,
1060024,2025-07-15,-9999,
1060025,2025-07-15,16.9,
1060026,2025-07-15,36.7,
1060027,2025-07-15,-9999,
1060028,2025-07-15,-9999,
1060029,2025-07-15,39,
1060030,2025-07-15,0,
1060031,2025-07-15,1.6,
1060032,2025-07-15,-9999,
1060033,2025-07-15,6.6,
1060034,2025-07-15,1.2,
1060035,2025-07-15,-9999,
1060036,2025-07-15,1.3,
1060037,2025-07-15,27.7,
1060038,2025-07-15,115.4,
1060039,2025-07-15,7.4,
1060040,2025-07-15,7,
1060041,2025-07-15,26.1,
1060042,2025-07-15,0,
1060043,2025-07-15,7.2,
1060044,2025-07-15,93.1,
1060045,2025-07-15,0,
1060046,2025-07-15,1.2,
,,,
