station_seqnum,date,value (mm)
1060001,2026-06-15,8
1060002,2026-06-15,27.8
1060003,2026-06-15,-9999
1060004,2026-06-15,-9999
1060005,2026-06-15,1.3
1060006,2026-06-15,-9999
1060007,2026-06-15,-9999
1060008,2026-06-15,0
1060009,2026-06-15,46.7
1060010,2026-06-15,17.2
1060011,2026-06-15,-9999
1060012,2026-06-15,0
1060013,2026-06-15,48.8
1060014,2026-06-15,45.5
1060015,2026-06-15,1.4
1060016,2026-06-15,-9999
1060017,2026-06-15,13.9
1060018,2026-06-15,0
1060019,2026-06-15,-9999
1060020,2026-06-15,-9999
1060021,2026-06-15,1.1
1060022,2026-06-15,0.5
1060023,2026-06-15,-9999
1060024,2026-06-15,-9999
1060025,2026-06-15,38.3
1060026,2026-06-15,19.8
1060027,2026-06-15,-9999
1060028,2026-06-15,-9999
1060029,2026-06-15,6.7
1060030,2026-06-15,1.2
1060031,2026-06-15,0
1060032,2026-06-15,-9999
1060033,2026-06-15,6
1060034,2026-06-15,2.9
1060035,2026-06-15,-9999
1060036,2026-06-15,1.2
1060037,2026-06-15,33.8
1060038,2026-06-15,0
1060039,2026-06-15,0.5
1060040,2026-06-15,0.7
1060041,2026-06-15,1.1
1060042,2026-06-15,0
1060043,2026-06-15,2
1060044,2026-06-15,15.7
1060045,2026-06-15,0
1060046,2026-06-15,-9999
1060047,2026-06-15,3.5
1060048,2026-06-15,14.7
