station_seqnum,date,value (mm),
1060001,2025-02-15,88.7,
1060002,2025-02-15,125.1,
1060003,2025-02-15,-9999,
1060004,2025-02-15,-9999,
1060005,2025-02-15,110.7,
1060006,2025-02-15,-9999,
1060007,2025-02-15,-9999,
1060008,2025-02-15,167.7,
1060009,2025-02-15,383.6,
1060010,2025-02-15,95.2,
1060011,2025-02-15,-9999,
1060012,2025-02-15,340.3,
1060013,2025-02-15,246.2,
1060014,2025-02-15,202.9,
1060015,2025-02-15,92.9,
1060016,2025-02-15,120.7,
1060017,2025-02-15,55.3,
1060018,2025-02-15,113.8,
1060019,2025-02-15,-9999,
1060020,2025-02-15,119.5,
1060021,2025-02-15,131.7,
1060022,2025-02-15,164.7,
1060023,2025-02-15,151.3,
1060024,2025-02-15,-9999,
1060025,2025-02-15,224.5,
1060026,2025-02-15,155,
1060027,2025-02-15,-9999,
1060028,2025-02-15,-9999,
1060029,2025-02-15,456.5,
1060030,2025-02-15,76.6,
1060031,2025-02-15,230.2,
1060032,2025-02-15,-9999,
1060033,2025-02-15,265.6,
1060034,2025-02-15,182.8,
1060035,2025-02-15,213.3,
1060036,2025-02-15,83.1,
1060037,2025-02-15,514.9,
1060038,2025-02-15,196.1,
1060039,2025-02-15,296,
1060040,2025-02-15,-9999,
1060041,2025-02-15,386.2,
1060042,2025-02-15,-9999,
1060043,2025-02-15,174.5,
1060044,2025-02-15,230.7,
1060045,2025-02-15,148.7,
1060046,2025-02-15,-9999,
,,,
