station_seqnum,date,value (mm),
1060001,2025-05-15,107,
1060002,2025-05-15,43.9,
1060003,2025-05-15,-9999,
1060004,2025-05-15,-9999,
1060005,2025-05-15,16,
1060006,2025-05-15,-9999,
1060007,2025-05-15,-9999,
1060008,2025-05-15,6.7,
1060009,2025-05-15,-9999,
1060010,2025-05-15,14.5,
1060011,2025-05-15,-9999,
1060012,2025-05-15,68.2,
1060013,2025-05-15,49.8,
1060014,2025-05-15,-9999,
1060015,2025-05-15,31,
1060016,2025-05-15,-9999,
1060017,2025-05-15,146.9,
1060018,2025-05-15,73.9,
1060019,2025-05-15,-9999,
1060020,2025-05-15,-9999,
1060021,2025-05-15,0.7,
1060022,2025-05-15,0.8,
1060023,2025-05-15,-9999,
1060024,2025-05-15,2,
1060025,2025-05-15,-9999,
1060026,2025-05-15,47,
1060027,2025-05-15,-9999,
1060028,2025-05-15,-9999,
1060029,2025-05-15,-9999,
1060030,2025-05-15,3.1,
1060031,2025-05-15,117.8,
1060032,2025-05-15,-9999,
1060033,2025-05-15,33.4,
1060034,2025-05-15,36.6,
1060035,2025-05-15,-9999,
1060036,2025-05-15,28.3,
1060037,2025-05-15,195.6,
1060038,2025-05-15,125.7,
1060039,2025-05-15,0,
1060040,2025-05-15,12.4,
1060041,2025-05-15,182.2,
1060042,2025-05-15,26.3,
1060043,2025-05-15,53.4,
1060044,2025-05-15,34.2,
1060045,2025-05-15,2.6,
1060046,2025-05-15,21.3,
,,,
